№,Тема,Навык,N
1.1,Натуральные и целые числа,Натуральные и целые числа,1
1.1,,Научная форма числа,2
1.1,,Делимость чисел,3
1.1,,"Признаки делимости на 2, 3, 5, 9, 10",4
1.1,,Нахождение НОД и НОК,5
1.2,Дроби и проценты,Обыкновенные и десятичные дроби,6
1.2,,Нахождение доли от числа,7
1.2,,Вычисление процентов,8
1.2,,Повышение/понижение на процент,9
1.2,,Бесконечные периодические дроби,10
1.3,Рациональные числа и арифметические действия,Определение рациональных чисел,11
1.3,,Расположение на координатной прямой,12
1.3,,Сравнение и упорядочивание рациональных чисел,13
1.3,,Преобразование дробей,14
1.3,,Арифметические действия с  обыкновенными дробями,15
1.3,,Арифметические действия с десятичными дробями,16
1.3,,"Раскрытие скобок, распределительное свойство",17
1.4,Действительные числа,Классификация действительныех чисел,18
1.4,,Приближённое значение корня числа,19
1.4,,Арифметические действия с рациональными числами,20
1.5,Приближённые вычисления,Понятие точности и погрешности,21
1.5,,Округление чисел,22
1.5,,Приближённые вычисления,23
9.1,Работа с данными и графиками,Чтение и анализ графических схем: Графики,24
